Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
패션우울증,Fashion Depression or Style-induced anxiety,lifestyle,Negative,Community,10s-20s,"나 패션우울증 걸렸잖아 요즘..ㅜㅜ(실제로는 우울증 자체가 없음, 단순히 관심받고 싶어서 한 얘기)",Translate this Korean text to English: A new slang term has emerged among teenagers on social media who glamorize depression and self-harm as if they were trends to attract attention.,2019,Casual,Word,Korean
바비코어,Barbiecore – extravagant pink fashion style,Beauty,Neutral,null,20s-30s,핑크 스타일로 꾸몄는데 딱 바비코어 느낌 나지?,"The term is a compound of 'Barbie' and 'Core', and is used to refer to a lifestyle centered around the character 'Barbie' from the movie 'Barbie'.",2023,Casual,Word,Korean
문찐,"someone who’s out of the loop with trends, memes, pop culture, or digital content",Hobbies,Negative,null,10s-20s,나는 요즘 유행하는 거 하나도 몰라. 완전 문찐됨 ㅠㅠ,"This is a compound word of 'culture' and 'loser', referring to someone who is out of touch with the latest trends or popular culture and falls behind. It is used in online communities.",2017,Casual,Word,Korean
꾸안꾸,Effortlessly stylish / looks natural but well-coordinated,Beauty,Neutral,Youtube,20s-30s,오늘 꾸안꾸룩 어때? 대충 입은 듯 아닌 듯?,Pursuing simple and natural fashion over flamboyant styles.,2019,Casual,Word,Korean
힙찔이,Wannabe hip-hop fan who doesn't get it,Negative Experiences/Beauty,Negative,Twitter,10s,걔는 힙합이 뭔지도 모르면서.. 옷 완전 힙찔이처럼 입었어..,This is used to belittle rappers who have misunderstood hip-hop culture or people who like hip-hop.,2019,Casual,Word,Korean
틀딱,Outdated grandpa mode,lifestyle,Negative,Community,10s-20s,그 말투 뭐야ㅋㅋ 완전 틀딱같아;;,"The term began as a derogatory term for the elderly, combining the word for 'dentures' and the onomatopoeic sound 'tak' representing the sound of dentures clashing. However, it has evolved to refer to anything that is out of fashion or old.",2016,Vulgar,Word,Korean
별다줄,abbreviate everything,Conversational,Neutral,Community,10s-20s,이젠 줄임말도 줄여야 할 판이야 별다줄 진짜,This is used to satirize the modern Korean language lifestyle that excessively abuses abbreviations and euphemisms.,2017,Casual,Word,Korean
톤그로,Tone crash,Beauty,Negative,Instagram,10s-20s,민지 화장 완전 톤그로~~ 얼굴만 둥둥 떠다니잖아~~ㅋㅋㅋ,"It refers to the state of having awkward makeup due to using unsuitable cosmetic colors, and it is spreading according to makeup trends such as personal color.",2018,Casual,Word,Korean
라떼는 말이야,Boomer talk unlocked,lifestyle,Neutral,Twitter,10s~30s,"라떼는 말이야~ 학원 끝나고도 또 공부했어” (꼰대 풍)
“네네~ 라떼 is back again~",The phrase 'Back in my day' is used as a linguistic play to satirize the 'old fogey' generation. This trend started to spread with the broadcasts of online streamer Gamst.,2018,Casual,Phrase,Korean
가심비,Consumption focused on psychological satisfaction over price (Value-for-mind),Economy,Positive,null,20s-30s,비싼데 가성비보다 가심비로 샀어. 예쁘잖아.,"This refers to the value consumption trend of the MZ generation, who have become the main players in the consumer market, and is used.",2022,Casual,Word,Korean
무지출 챌린지,SNS challenge to limit spending,Economy,Neutral,"Instagram,Tiktok",20s,이번 주는 무지출 챌린지 성공할 수 있을까?,"Translate this Korean text to English: Due to the surge in prices, there's a challenge aiming to cut down on spending by packing lunch boxes, drinking homemade coffee instead of take-out coffee, and generally avoiding consumption.",2022,Casual,Word,Korean
다꾸,Decorating your diary,Hobbies,Neutral,Tiktok,10s-20s,새 학기라서 다들 다꾸 열심히 하더라.,"This originates from the hobby culture centered around Generation Z, where analog sentiment and the desire for self-expression are combined.",2010,Casual,Word,Korean
워라밸,Work-life balance,lifestyle,Neutral,Community,20s-30s,야근 없고 칼퇴 가능한 회사라니… 워라밸 지켜지는 곳 찾았다!,"The MZ generation is becoming the mainstay of economic activity, and the trend of emphasizing the balance between work and life is becoming stronger.",2018,Casual,Word,Korean
가스라이팅,Gaslighting,Relationships,Negative,null,10s~30s,걔가 맨날 내 탓만 하더니 결국 나만 미안하게 만듦. 완전 가스라이팅 아님?,"This is a psychological concept derived from the 1938 play 'Gas Light', referring to the act of subtly distorting another's perception of reality in an attempt to dominate them. Since the 2010s, it has expanded into everyday language through social media and popular culture.",2017,Casual,Word,Korean
팩폭,Brutal honesty,Conversational,Neutral,Twitter,10s-20s,넌 공부도 안 하면서 대학 걱정은 왜 함? 팩폭 미안^^,"This trend started on platforms like DC Inside's soccer gallery, where people would mock or ridicule their opponents in debates using facts as their weapon of attack. It was received as a more satisfying expression than emotional criticism, and it became popular throughout the community.",,Casual,Word,Korean
등골브레이커,Financial burden child,Economy,Negative,Community,10s-20s,학생인데 명품백 들고 다님ㅋㅋ 완전 등골브레이커임,"Around 2012, amid the trend of high-end brand padding, the phenomenon of pressuring parents into excessive consumption rose as a social issue, popularizing the phrase 'it bends the parents' spine,' meaning it puts a heavy burden on the parents.",2011,Casual,Word,Korean
벼락거지,Feeling of deprivation caused by sudden wealth gaps,Economy,Negative,Twitter,20s-30s,비트코인 올랐던데… 나만 벼락거지 됐네.,"This term is used in contrast to 'nouveau riche,' which refers to someone who suddenly made a lot of money. It was coined in the early 2020s when the real estate and stock markets were booming, and it sarcastically refers to people who became relatively poorer because their wealth did not increase.",2020,Casual,Word,Korean
N포세대,"Generation that gave up on dating, marriage, and childbirth",lifestyle,Negative,null,20s-30s,"연애, 결혼, 출산 다 포기했지. 우리 N포세대니까.","This is a new term created by the special investigative team of Kyunghyang Newspaper in 2011. It critically encapsulates the reality where the younger generation has given up on dating, marriage, and childbirth due to excessive living costs and social instability.",2011,Casual,Word,Korean
1도 모르겠다,I have no clue at all,Humor and Exaggerated,Neutral,Twitter,10s-20s,수학 시험 범위 1도 모르겠다 진짜,"The Korean singer 'Henry', who had difficulty speaking Korean, first used it in the program 'Real Men' aired on MBC in 2014. It has been expanded and used in expressions such as 'not at all'.",2014,Casual,Phrase,Korean
믿거,Don’t even bother,Negative Experiences,Negative,Community,10s-20s,그 작가 믿거임… 스토리 매번 똑같아,"This is a new slang term meaning to avoid or ignore untrustworthy subjects or services due to repeated disappointing experiences, abbreviated from the phrase 'believing and filtering out.' It has quickly spread in online communities.",2018,Casual,Word,Korean
감다살,Emotionally drained but gotta act nice,Positive Experiences,Positive,Twitter,20s,나 지금 완전 감다살이야.. 빨리 집 가고 싶어...,"This phrase originated from the gaming community and internet broadcasts, and it is used to mean ""You've really honed your skills"" or ""You've done well"" when someone has improved their skills or shown good results or behavior compared to before.",2022,Casual,Word,Korean
오운완,Today’s workout: complete,Beauty,Positive,Instagram,20s-30s,비 왔지만 오운완. 이 맛에 운동하지,"The text translates to English as: ""A new term born from the combination of SNS hashtag culture and routine verification culture, it's a trend among the MZ generation as one way of practicing a lifestyle centered on self-efficacy and health.""",2022,Casual,Word,Korean
에코슈머,Eco-consumer who chooses sustainable consumption,Economy,Neutral,null,20s-30s,나는 에코슈머라서 친환경 브랜드만 찾아봐.,"This is a newly coined term that has spread along with the value consumption trend, and it is associated with trends such as ethical consumption and zero waste.",2019,Casual,Word,Korean
식집사,Plant parent; person who nurtures houseplants,lifestyle,Neutral,Instagram,20s-30s,우리 집엔 식물만 12개야. 완전 식집사지.,Translate this Korean text to English: A new slang term naturally emerged as the time spent at home increased after COVID-19 and the number of people growing houseplants surged.,2022,Casual,Word,Korean
피해자 코스프레 ,Emotional manipulation by victim-posing,lifestyle,Negative,"Twitter,Community",10s~30s,지가 먼저 욕해놓고 갑자기 우네ㅋㅋ 피해자 코스프레 지리네,This is a newly coined term used to criticize the behavior of perpetrators or responsible parties who pretend to be victims in online and political discourse to sway public opinion in their favor. It has spread in community and comment culture since the mid-2010s.,2016,Casual,Word,Korean
군싹,Mouthwatering or Looks irresistibly good,Humor and Exaggerated,Positive,Twitter,10s-20s,야 이 치즈버거 비주얼 봐. 군싹이다 군싹,Spreading along with the image of the character Loopy from the animation Pororo.,2021,Casual,Word,Korean
킹받다,Extremely pissed off,Emotion,Negative,Youtube,10s-20s,친구가 내 간식을 몰래 먹어서 너무 킹받는다.,"This trend spread through the broadcasts of the YouTuber 'Chill Man', and is used in various versions such as 'kg received' and 'King Badrash'.",2018,Casual,Phrase,Korean
억텐,Forced enthusiasm / Fake hype,Emotion,Negative,"Youtube,Tiktok",10s-20s,억텐 부리면서 억지로 웃는 모습이 오히려 어색하다.,"It started to trend on Twitch, and it became popular through the internet broadcast of the former pro-gamer 'Gong Hyuk-jun'.",2018,Casual,Word,Korean
행복회로,Positive fantasy / Optimistic imagining,Emotion,Positive,Community,10s-20s, 복권 샀으니 당첨될 거라고 혼자 행복회로 돌리고 있다.,"The term originates from the setting of 'Rozen Maiden', a secondary creation character in a Japanese manga, and refers to a delusional hope conceived to escape from a desperate situation. It has spread in online communities as a sarcastic term for unrealistic optimistic expectations that are detached from reality.",2016,Casual,Word,Korean
자만추,Prefers natural romantic encounters,Relationships,Neutral,Community,10s-20s,난 연애는 자만추가 제일 좋다고 생각해.,"This is a new term derived from the pursuit of natural encounters, not artificial ones like blind dates or arranged meetings. It has also been adapted into various other words or meanings.",2018,Casual,Word,Korean
취향저격,It hits your taste exactly (taste sniper),Positive Experiences,Positive,Youtube,10s-20s, 이번에 나온 신곡이 완전 내 취향저격이야.,Derived from the title of iKON's 2015 song 'Love Scenario'.,2015,Casual,Word,Korean
TMI,Too Much Information,Conversational,Neutral,Twitter,All,갑자기 TMI로 어제 저녁 메뉴까지 말하지 않아도 돼.,"This was disseminated through Twitter and is used in a wider context than the negative connotations traditionally used in English-speaking regions. It is used in various contexts such as digressions, tangents, and useful information.",2017,Casual,Word,Korean
빌런,A troublemaker / villain,Negative Experiences,Negative,Twitter,10s-20s,MT에서 술마시고 신입생에게 고백했어.. 나 빌런일까?,"This term began to be used in the Classic Game Gallery on DC Inside, and is used to refer to a person who causes nuisance or behaves strangely, or a weirdo.",2017,Casual,Word,Korean
노답,Hopeless / No solution,Negative Experiences,Negative,Broadcast,10s-20s,시험 점수를 보고 나니 정말 노답이라고 느껴졌다.,"The former game commentator, Kim Tae-hyung, started to popularize this term, and it was subsequently abbreviated for quicker chat use.",2010,Casual,Word,Korean
얼죽아,I drink iced Americano no matter how cold it is,lifestyle,Neutral,Twitter,10s-20s,아무리 추워도 나는 얼죽아라서 아이스 아메리카노만 마신다.,"This term, which originated on Twitter, has spread widely as the majority of Koreans relate to it - they continue to drink cold iced beverages even in winter.",2015,Casual,Word,Korean
내로남불,"If I do it, it's love. If others do it, it's scandal",Relationships,Negative,Community,20s-30s,그 사람은 내로남불이라 남의 실수만 지적한다.,The expression used since the 1980s began to spread as it started to be abbreviated like a four-character idiom in blogs.,2004,Casual,Word,Korean
할많하않,"I have a lot to say, but I won't",Conversational,Negative,Twitter,10s-20s,그 사건에 대해선 할많하않이라 더 이상 말하지 않을게.,"The text is a new slang term that expresses the feeling of having a lot to say but choosing not to. It is mainly used to avoid conversation or to succinctly express emotions in negative situations such as anger, discomfort, or disbelief.",2015,Casual,Word,Korean
만렙,Max level / Top tier,Hobbies,Positive,Community,10s-20s,게임에서 드디어 만렙을 찍어서 너무 뿌듯하다.,"This term, which refers to the highest achievable level in online games, has spread as a neologism that metaphorically expresses a state of having outstanding abilities in any field in daily life.",2011,Casual,Word,Korean
갑분싸,Awkward silence suddenly drops,Conversational,Negative,"Twitter,Youtube",10s-20s,다들 웃고 있는데 갑자기 이상한 농담해서 갑분싸 만들지 마.,"The term started to be used in online communities like DC Inside and Ilbe Storage when people's reactions to jokes were not good, and it has since been used in everyday life.",2017,Casual,Word,Korean
급발진,Sudden emotional outburst,Emotion,Negative,Twitter,10s-20s,상대방이 별말도 안 했는데 갑자기 급발진하는 거 아니야?,"As the number of sudden unintended acceleration accidents increases, it's being used sarcastically when someone suddenly gets angry or upset.",2018,Casual,Word,Korean
띵작,Masterpiece,Hobbies,Positive,Community,10s-30s,이 영화는 정말 역대급 띵작이었어.,"This was spread through online communities such as DC Inside, Today's Humor, and Funny University, and was applied by modifying the word 'masterpiece'.",2017,Casual,Word,Korean
존버,Persevere to the end,Hobbies,Neutral,Community,10s-30s,주식이 오를 때까지 존버하는 중이다.,"This term started as an abbreviation of a phrase related to cryptocurrency, meaning to hold on even when the price drops until it rises again, and it has spread into everyday language.",2012,Casual,Word,Korean
댕댕이,Puppy (used as a cute way to refer to dogs or people),Conversational,Positive,Community,10s-30s,우리 집 댕댕이는 너무 귀여워서 매일 사진 찍는다.,"On the Design Inside domestic baseball gallery, it's trendy to call 'dogs' by changing the word according to the letter format.",2015,Casual,Word,Korean
핫플,Hot place / Trendy spot,Conversational,Positive,Instagram,10s-30s,이 카페는 요즘 SNS에서 핫플로 떠오르고 있어.,"The term 'Hot Place', a Konglish expression meaning a popular place, is a shortened phrase that has spread from the culture of exploring and sharing new places on social media.",,Casual,Word,Korean
고구마,Frustrating situation (like eating a sweet potato),Negative Experiences,Negative,Community,10s-20s,드라마 주인공이 답답해서 고구마 먹은 것처럼 속이 막힌다.,"This phrase originated from the feeling of stuffiness when eating sweet potatoes. It is used when the development of events in creative works such as comics, web novels, and extreme dramas feels frustrating, and it has spread widely. It is also used in reference to people or situations.",2013,Casual,Word,Korean
사이다,Refreshing resolution (like drinking soda),Positive Experiences,Positive,Community,10s-20s,마지막에 주인공이 복수해서 사이다 같은 결말이었다.,"This phrase originated from the refreshing sensation felt when drinking cider, and it has spread in discussions about the development of events in creative works such as comics, web novels, and over-the-top dramas.",2016,Casual,Word,Korean
역대급,History-making level of epic,Humor and Exaggerated,Neutral,Twitter,All,이번 콘서트는 정말 역대급 무대였어.,"The neologism is a combination of the word '역대', which means 'over time', and the suffix '급', which means 'equivalent to'.",2016,Casual,Word,Korean
개취,Respect for personal tastes,Conversational,Positive,Twitter,10s-20s,교수님 정말 잘생겼지 않아? 개취야,"The neologism, originating from the language habit of expressing and defending one's own tastes, means 'individual preference'.",2014,Casual,Word,Korean
팀플,Team project,Hobbies,Neutral,Community,10s-30s,팀플에서 제대로 안 하는 팀원이 있어서 힘들었다.,"The term 'team project' or 'team play' is not only used in games, but also for group assignments and presentations in universities.",2005,Casual,Word,Korean
노잼,Super boring,Emotion,Negative,"Community,Youtube",10s-20s,이 영화는 너무 노잼이라 중간에 잠들 뻔했어.,"This is a term that started to be used on DC Inside, a compound word of 'no', which means 'none', and 'jam', a slang term for 'fun'.",2011,Casual,Word,Korean
대유잼,Super fun,Emotion,Positive,Twitter,10s-20s,이번 예능은 진짜 대유잼이라 배꼽 잡고 봤다.,"The term 'nojam', which originated from DC Inside, is used and spread during the consumption of online content such as YouTube. It is used as the opposite of 'nojam'.",2016,Casual,Word,Korean
꿀잼,Super entertaining,Emotion,Positive,Youtube,10s-20s,어제 본 드라마는 정말 꿀잼이었다.,"The term 'no fun' originated from DC Inside, a Korean online community. A derivative of this term is 'honey', which is used to mean 'very fun'.",2016,Casual,Word,Korean
~충 ,"X weirdo, Annoying [X] guy, X-addict",Humor and Exaggerated,Negative,Community,10s-20s,자기 자랑만 줄줄 하는 자존감충들 왜 이렇게 많냐,"This phrase began to be used to belittle the members of an online community called Ilgan Best. It uses 'Chung', the Chinese character for bug. It has spread as a way to express contempt or derision by attaching other nouns.",2011,Casual,Suffix,Korean
금사빠,Someone who falls in love quickly,Relationships,Neutral,Twitter,10s-20s,나는 금사빠라서 누굴 만나도 금방 좋아하게 돼.,The new slang term that emerged in the 2010s from internet communities to simply express the tendency to easily like people.,2012,Casual,Word,Korean
~각이다,About to happen any moment / It's just about to go down,Conversational,Neutral,Broadcast,10s-20s,이대로 가면 오늘도 야근 각이다.,"This phrase originated from calculating the three-cushion angle in billiards, and it has since spread across gaming culture to mean predicting or calculating subsequent strategies.",2016,Casual,Suffix,Korean
흑역사,Embarrassing past (cringe memory),Negative Experiences,Negative,null,All,중학교 때 썼던 일기를 보니 완전 흑역사였어.,"The term originally referred to a past war history that one wanted to erase in the Japanese animation series 'Mobile Suit Gundam'. In Korea, it is used as a slang term to refer to past actions or records that one is ashamed of or wants to hide.",2010,Casual,Word,Korean
썸남,A guy you're flirting with (situationship partner),Relationships,Positive,"Twitter,Instagram",10s-20s,썸남이랑 오늘 영화 보기로 했는데 떨린다.,"The abbreviation derived from the word 'something', which means something that is not accurate.",,Casual,Word,Korean
썸녀,A girl you're flirting with (situationship partner),Relationships,Positive,"Twitter,Instagram",10s-20s,썸녀랑 오늘 영화 보기로 했는데 떨린다.,"The abbreviation derived from the word 'something', which means something that is not accurate.",,Casual,Word,Korean
솔플,Solo play or acting alone,Hobbies,Neutral,Community,20s-30s,친구들이 바빠서 이번 여행은 솔플로 다녀왔다.,The term 'solo play' originated from online games where you play alone.,2010,Casual,Word,Korean
칼퇴,Leaving work on the dot,lifestyle,Neutral,Community,20s-30s,오늘은 일이 일찍 끝나서 칼퇴 가능할 것 같아.,The new term naturally emerged as resentment towards the culture of working late and the pursuit of work-life balance spread.,2012,Casual,Word,Korean
꿀팁,Useful tip (life hack),Positive Experiences,Positive,Youtube,All,요리할 때 소금을 조금 넣으면 맛이 좋아진다는 꿀팁을 들었다.,The English word 'tip' is often combined with 'honey' in a positive context to denote something useful and good in Korean. This expression is widely used in online culture to share useful information.,,Casual,Word,Korean
인싸,Social butterfly,Relationships,Neutral,Instagram,10s-20s,그 사람은 어디를 가든 인싸라서 금방 적응한다.,"The abbreviation of 'Insider', which is the opposite of 'Outsider'.",2004,Casual,Word,Korean
아싸,Social outsider / introvert (homebody),Relationships,Neutral,Instagram,10s-20s, 나는 아싸라서 모임에서 말도 잘 안 한다.,Derived from the word 'outsider'.,2004,Casual,Word,Korean
빡겜,Hardcore gaming,Hobbies,Neutral,Community,10s-20s,중요한 경기니까 오늘은 빡겜할 예정이야.,This phrase was spread in the online gaming community and is used when seriously engaging in a game without any mischief.,,Casual,Word,Korean
혼밥,Eating alone (solo meal),Relationships,Neutral,Community,10s-30s,점심시간엔 혼밥하면서 유튜브 보는 게 제일 좋아.,"As an abbreviation for 'eating alone', it emerged with the increase in single-person households.",2014,Casual,Word,Korean
혼술,Drinking alone (solo drink),Relationships,Neutral,Twitter,20s-30s, 혼술하면서 취향 저격인 음악을 듣는 게 나만의 힐링이다.,"As an abbreviation for 'drinking alone', it emerged with the increase in single-person households.",2014,Casual,Word,Korean
~무새,Person who always does ~ (repeater),Conversational,Neutral,Youtube,10s-20s,"요즘 ""운동해야지"" 무새가 돼버린 내 모습이 웃기다.","This phrase originates from the meaning of repeating like a parrot, and it is used to mockingly refer to someone who repeats a specific word or action.",2018,Casual,Suffix,Korean
똥꼬발랄,Hyper and bubbly personality,Conversational,Positive,Community,10s-20s,그 친구는 똥꼬발랄해서 항상 주변에 웃음이 넘친다.,"This term originated from the cat community, meaning that the sight of an active cat walking is adorable.",2012,Casual,Word,Korean
고인물,Veteran / highly skilled person,Hobbies,Neutral,Community,10s-20s,이 게임에서는 고인물들 때문에 초보가 적응하기 힘들다.,"The term originated from the statement by Han Jae-ho, the director of Mabinogi Heroes, who compared the lack of new user influx to 'stagnant water'. Since then, it has spread as a new term meaning long-standing veteran users.",2010,Casual,Word,Korean
~템,~item / thing with a specific trait,Hobbies,Neutral,Community,10s-30s, 이번에 나온 신발은 꼭 살만한 템이라던데?,The term 'item' is often used as a shorthand to refer to good things or valuable objects.,,Casual,Suffix,Korean
심쿵,Heart-fluttering moment,Emotion,Positive,Community,10s-20s,썸남이 웃으면서 인사할 때 심쿵했다.,"The term, influenced by the word 'Munekyun (胸キュン)', which was popular in Japan in the early 1980s, has spread due to the influence of K-drama, idols, and other cultural phenomena.",2014,Casual,Word,Korean
마상,Emotional scar,Emotion,Negative,Youtube,10s-20s,친구의 무심한 말에 마상이였다.,Referring to 'heartache' as a trend to lessen the pain.,,Casual,Word,Korean
댕청,Dumb but adorable (ditzy cute),Relationships,Positive,Twitter,10s-20s,댕청한 실수를 하고도 웃는 내 모습이 참 귀엽다.,"This phrase originated from DC Inside's Yaminjeongeum, where Hangul characters are replaced with similar-looking ones to represent different words. In this case, the 'Mong' in 'Mongchonghada' (meaning 'stupid') is replaced with 'Daeng'.",2015,Casual,Word,Korean
뇌섹남/ 뇌섹녀,Brainy and attractive person,Relationships,Positive,Broadcast,20s-30s,그는 외모도 멋지고 똑똑한 뇌섹남이다.,"It is presumed that it became popular as domestic celebrities started using it, and it spread through feature articles in women's magazines.",2014,Casual,Word,Korean
츤데레,"Cold outside, warm inside (tsundere type)",Relationships,Positive,Twitter,10s-20s,앞에선 시크하게 굴더니 갑자기 나한테 선물주더라. 완전 츤데레아냐~,"This is a term that originated from the Japanese animation fandom. It refers to a character who appears cold on the outside but is actually very affectionate on the inside. The term is derived from the combination of 'tsun tsun', which signifies coldness, and 'dere dere', which signifies affection.",2010,Casual,Word,Korean
밀당,Push and pull (in relationships),Relationships,Neutral,Community,10s-20s,썸녀와 밀당을 하는데 이게 너무 어렵다.,Used in a dating situation,,Casual,Word,Korean
쿠쿠루삥뽕,Used in absurd or ridiculous situations,Humor and Exaggerated,Neutral,Youtube,10s,쿠쿠루삥뽕~ 어쩔티비~,"It originated on Twitch, and it's derived from the sound of the TTS (Text-to-Speech) reading 'ㅋㅋ' in the comments of the sponsorship.",2022,Casual,Word,Korean
빵터지다,Laugh out loud,Emotion,Positive,Youtube,10s-20s,친구의 농담이 너무 웃겨서 빵터지고 말았다.,"The word '빵', which is used to describe a sudden, loud bursting sound, is also used in situations where laughter bursts out.",2011,Casual,Phrase,Korean
케바케,Case by case,Conversational,Neutral,Twitter,10s-20s,여행지는 케바케라서 사람마다 선호도가 다르다.,"The English phrase 'Case by Case' is used as an abbreviation, and it is used in the context of arguments or discussions occurring online to mean not to generalize.",2010,Casual,Word,Korean
복붙,Copy and paste,Hobbies,Neutral,Community,10s-30s,보고서를 복붙만 하면 안 되고 제대로 작성해야지.,This is a new term that has emerged among users who frequently use the copy and paste functions on their computers.,,Casual,Word,Korean
억까,Unjustified criticism (hate for no reason),Negative Experiences,Negative,Community,10s-20s,아무 이유 없이 나를 억까하는 사람들이 많아서 속상하다.,This is a newly coined term that emerged in online communities to mock the attitude of harshly criticizing without a valid reason.,2022,Casual,Word,Korean
현웃,Laughing in real life (IRL laugh),Emotion,Positive,null,10s-20s, 그 사람의 말실수에 현웃 터져서 한참 웃었다.,"Unlike 'ㅋㅋ' which is used to pretend to laugh online, it expresses when something is actually funny enough to make you laugh.",,Casual,Word,Korean
인증샷,Proof shot / verification photo,lifestyle,Neutral,Instagram,10s-30s,맛집에 가면 인증샷 찍는 걸 절대 빼놓지 않는다.,"With the proliferation of smartphones and the normalization of real-time social networking services like Twitter, the trend of taking and posting proof photos online to validate one's actions or statements has emerged.",2010,Casual,Word,Korean
카공,Studying at a cafe,lifestyle,Neutral,Instagram,20s-30s, 카페에서 카공하는 사람들이 늘어나고 있다.,"As the culture of studying in cafes has spread, a new slang term was naturally coined among college students and job seekers in the late 2000s to describe this phenomenon.",2020,Casual,Word,Korean
먹방,Mukbang (eating broadcast),lifestyle,Neutral,Youtube,All,유튜브에서 먹방을 보다가 나도 배고파졌다.,"The new slang term has emerged due to the popularity of content that shows people eating food in real-time on 'AfreecaTV', an internet personal broadcasting platform.",2015,Casual,Word,Korean
웃프다,Funny but sad,Emotion,Neutral,Twitter,10s-30s,실패한 이야기가 웃기면서도 슬퍼서 웃프다.,"This phrase is used to describe a situation that might seem funny on the surface, but becomes sad when you consider the underlying circumstances.",2014,Casual,Phrase,Korean
낄끼빠빠,Know when to jump in and when to step back,Conversational,Neutral,Twitter,10s-20s,대화할 땐 낄낄빠빠를 잘 지켜야 한다.,"This is a satirical expression related to social awareness that emerged within the community culture, referring to a new belief closely tied to daily life that emphasizes the importance of knowing the right timing for intervention and silence.",2015,Casual,Word,Korean
돌직구,Blunt and honest talk (no filter),Conversational,Neutral,Broadcast,10s-30s,그는 항상 돌직구를 날려서 당황스럽다.,"Starting with baseball terminology, it is now used in everyday life.",2013,Casual,Word,Korean
뽀짝,Cute and lovable vibe,Beauty,Positive,Twitter,10s-20s,강아지가 뽀짝한 표정을 지으니 너무 귀엽다.,"This phrase originated from a misheard part of Red Velvet's song lyrics (a phenomenon where one misinterprets familiar words), and spread among fans as a trendy term meaning 'cute'. It later expanded into various expressions such as 'adorably cute' and 'little cutie'.",2017,Casual,Word,Korean
눈팅,Just watching without engaging,Conversational,Neutral,Instagram,10s-30s, 댓글 달지 말고 눈팅만 하는 게 더 편할 때가 있다.,"This is a new term in Korea, influenced by the concept of 'ROMる (people who only read)' in Japan, which refers to the act of only reading without writing online.",,Casual,Word,Korean
금손,Talented with their hands (golden hands),Positive Experiences,Positive,Instagram,10s-20s,그 친구는 그림을 너무 잘 그려서 정말 금손이다.,"The term 'dongin-gye', which refers to a secondary creation community, is a newly coined term used to praise someone with exceptional drawing or creative skills. Subsequently, it has spread as an expression to generally refer to talented individuals in games and communities.",2014,Casual,Word,Korean
똥손,Clumsy with hands (butterfingers),Negative Experiences,Negative,Instagram,10s-20s,나는 똥손이라 요리는 항상 실패한다.,"The term '금손', a new slang term that originated in the 'doujinshi' community, which refers to a secondary creative community, is used to praise people with outstanding drawing or creative skills. The antonym of this term is used by users who fail in online games and collectible content (e.g., gacha, enhancement) to self-deprecatingly express themselves, and it has started to spread.",2014,Casual,Word,Korean
현질,Spending real money in games,Hobbies,Neutral,Community,10s-30s,게임에서 좋은 아이템을 얻으려고 현질을 했다.,The term emerged among online game users to describe the behavior of purchasing paid items.,,Casual,Word,Korean
덕질,Deep diving into what you love,Hobbies,Neutral,Twitter,10s-20s,좋아하는 배우 덕질을 하면서 행복한 시간을 보냈다.,"The term 'Otaku' in Japanese has been shortened to 'Odeokhu' or 'Deok' in Korean, and the word 'Jil (Jit)', which means an act of immersing oneself in something, is added to it. This term was created in the early 2000s and spread along with a subculture based on fandom where fans autonomously create, share, and enjoy. It is a neologism used to describe the act of deeply liking and delving into someone or something.",,Casual,Word,Korean
덕후,Otaku / super fan of a field,Hobbies,Neutral,Twitter,10s-20s,그 친구는 영화 덕후라서 관련 지식이 엄청나다.,The term 'Otaku (おたく)' originated from Japanese and has been used in Korea since the 2000s as a slang term to humorously refer to someone who is deeply obsessed with something.,,Casual,Word,Korean
찐텐,Genuinely hyped / high energy for real,Emotion,Neutral,Youtube,10s-20s,그 사람의 연기에 찐텐이 느껴져서 몰입할 수 있었다.,"This is a shortened term for real tension (emotion, excitement), and it is trending on broadcasts, SNS, etc. to express genuine, unpretentious excitement or joy.",2019,Casual,Word,Korean
드립,Witty joke or punchline,Conversational,Neutral,Community,10s-30s,친구의 드립이 너무 웃겨서 배꼽 잡고 웃었다.,"This Korean text translates to English as: In the comedy program gallery of DC Inside, it is a word that has been shortened and modified from 'Ad lib', which satirically expresses impromptu or funny remarks and spreads them.",2010,Casual,Word,Korean
아아,Iced Americano,lifestyle,Neutral,Instagram,10s-30s,날씨가 더워서 아아 한 잔이 간절하다.,"This is a new term reflecting the cafe culture and beverage preferences of Korea, humorously expressing and spreading the characteristic of Koreans who prefer iced drinks even in hot weather.",,Casual,Word,Korean
꿀빤다,Enjoying a super chill situation,Positive Experiences,Neutral,null,10s-20s,오늘은 일이 적어서 정말 꿀빤다.,,,Casual,Phrase,Korean
헬시플레져,healthy pleasure,lifestyle,Neutral,Broadcast,20s-30s,요즘 나 헬시플레저에 빠져서 유산균 젤리랑 무가당 요거트 찾아다녀,"This is born from the health management attitude of the MZ generation, who prefer to maintain their health in a fun and sustainable way, instead of strictly restricting their diet and other aspects.",2024,Casual,Word,Korean
시강,Eye-catching / scene-stealing,Beauty,Neutral,Broadcast,10s-20s,길거리에 지나가던 사람이 너무 시강이라 눈을 뗄 수 없었다.,"This is a newly coined term that has become popular on social media, entertainment and fashion communities, etc., to describe a subject or scene that strongly captures attention.",2016,Casual,Word,Korean
